gmid,mag,dip,rake,z_tor,r_rup,r_jb,r_x,Vs30,Z1.0,Z2.5
1858571gm39,4.747744460677837,80.0,-134.0,36.35146039558687,42.66172056158209,22.304774367178148,-20.063292564348544,215.0,58.0,0.725
1858571gm49,4.747744460677837,80.0,-134.0,36.35146039558687,180.2865674299904,176.39433556329575,68.65962115603284,622.0,18.0,0.275
1858571gm59,4.747744460677837,80.0,-134.0,36.35146039558687,37.800949949023966,9.90024567643861,-2.578148113021246,800.0,24.0,0.325
1865099gm59,4.927330940300379,42.0,106.0,55.03487023628121,191.3626388825567,182.59092419096336,91.80669410329446,800.0,0.0,0.275
1872069gm9,3.69926080044046,72.0,89.0,52.483148600422325,63.08981076689251,34.99855079733284,-24.347565222784983,215.0,75.0,0.325
1873126gm24,5.234835882625463,60.0,125.0,3.101393387615154,24.891132771837597,24.696030928866435,-24.696006474238853,214.0,113.0,2.175
1873126gm69,5.234835882625463,60.0,125.0,3.101393387615154,194.59598496441976,194.4724671861592,146.25256936578188,622.0,18.0,0.275
1874767gm14,4.99786505731598,60.0,150.0,3.787597958565784,29.434272546402607,29.186959384660742,-2.0018192060738667,214.0,88.0,0.325
1874833gm59,5.099741201742631,55.0,-94.0,193.43426356684483,454.1304421115272,410.0081985773756,140.58221656816002,622.0,18.0,0.275
1874833gm74,5.099741201742631,55.0,-94.0,193.43426356684483,214.8435949141914,91.1409241640473,93.17760352513076,800.0,0.0,0.275
1877873gm44,4.651756465361312,55.0,-94.0,130.20036788546412,327.9196743397456,300.34484782095933,112.50715122615956,622.0,18.0,0.275
1878452gm59,4.183847009834093,60.0,125.0,80.9088270312778,112.62819937060716,77.44331786759179,78.22251284982063,622.0,18.0,0.275
1881871gm9,4.839804311318986,60.0,150.0,3.951852601966032,45.74749504032512,45.49259676727583,1.4347217570750093,214.0,88.0,0.325
1884479gm14,5.021482100570286,60.0,80.0,11.580111787576994,43.75420585188902,42.18848108483163,-19.07483811281923,214.0,88.0,0.325
1889487gm4,4.142331769087661,60.0,125.0,4.3058819410057145,10.047881185580076,8.697450394629087,4.747501955985292,240.0,73.0,0.325
1889487gm19,4.142331769087661,60.0,125.0,4.3058819410057145,13.114746792399604,11.813993101481364,10.219373307257158,1000.0,5.0,0.275
1893031gm19,4.788117319639759,60.0,150.0,33.020581086732626,64.30403835430968,53.91809024647146,54.84213620807798,1500.0,0.0,0.675
1894022gm9,4.300916352992432,67.0,147.0,6.231792437381449,10.908557751838105,8.67873808481377,-8.430510166944748,280.0,190.0,0.325
1894490gm19,5.358567881639091,40.0,97.0,31.42069993319009,147.50985142499545,143.31212066426025,110.30652846061103,760.0,10.0,1.475
1894490gm69,5.358567881639091,40.0,97.0,31.42069993319009,108.7651423606912,103.14082504613243,54.8333293325029,215.0,118.0,8.925
1894490gm89,5.358567881639091,40.0,97.0,31.42069993319009,150.69849814549346,146.67036646441122,145.53631671667904,800.0,0.0,0.275
1894490gm99,5.358567881639091,40.0,97.0,31.42069993319009,77.56105542098432,69.45324197701011,72.26510471611638,207.0,98.0,8.325
1895205gm29,3.9402626189503858,60.0,125.0,100.46755697234724,154.93979411694835,117.24476378646972,115.7907197062378,622.0,18.0,0.275
1900334gm34,4.040859721185549,60.0,80.0,6.083214508734879,35.691862637499945,35.088273802368334,-20.468809821232565,1000.0,15.0,0.325
1905903gm4,4.02463841472641,40.0,97.0,26.23465209620378,54.42535076489433,47.15472003786686,27.79636249614925,267.0,20.0,0.275
1905903gm14,4.02463841472641,40.0,97.0,26.23465209620378,29.676333823777203,13.00207284523634,11.204045735616278,294.0,88.0,1.275
1905903gm19,4.02463841472641,40.0,97.0,26.23465209620378,55.7768350312488,48.744011039726495,29.89408092971363,630.0,28.0,0.275
1905903gm24,4.02463841472641,40.0,97.0,26.23465209620378,34.81304827451384,21.68338066659744,20.50138985222118,329.0,43.0,0.325
1905903gm29,4.02463841472641,40.0,97.0,26.23465209620378,28.0878230774265,9.946670728520855,-3.969716456944987,390.0,268.0,1.375
1905903gm44,4.02463841472641,40.0,97.0,26.23465209620378,56.117422762519965,49.14605844177719,48.46996143878722,219.0,123.0,0.275
1905903gm49,4.02463841472641,40.0,97.0,26.23465209620378,53.47692640270282,46.10804246913199,46.56492788785125,260.0,78.0,0.275
1905903gm54,4.02463841472641,40.0,97.0,26.23465209620378,57.45946397763379,50.66397732426137,29.64782775857044,615.0,23.0,0.075
1905903gm64,4.02463841472641,40.0,97.0,26.23465209620378,67.6501461675341,61.98393105144776,34.65336114728737,246.0,46.0,0.325
1905903gm69,4.02463841472641,40.0,97.0,26.23465209620378,73.7162503328594,68.51444621969046,38.817685802655376,622.0,18.0,0.275
1905903gm74,4.02463841472641,40.0,97.0,26.23465209620378,55.491678755286806,48.42976516914703,32.26163716039443,233.0,151.0,0.325
1905903gm79,4.02463841472641,40.0,97.0,26.23465209620378,45.91317281575227,37.03786665862968,29.45633042837456,390.0,136.0,0.325
1905903gm84,4.02463841472641,40.0,97.0,26.23465209620378,34.38521497545559,22.00094270941936,1.6838809943486008,500.0,88.0,0.325
1906050gm9,3.666752118795401,60.0,80.0,18.172078938649904,40.81908920709084,36.54102225699728,-10.941316354036491,214.0,88.0,0.325
1908460gm4,4.726876212874355,72.0,178.0,3.962646408157247,52.64298685150329,52.43225111063747,-14.624582895793168,300.0,30.0,0.275
1908460gm14,4.726876212874355,72.0,178.0,3.962646408157247,24.18521831565023,23.72539711724244,-16.538892193026346,377.0,58.0,0.325
1908460gm34,4.726876212874355,72.0,178.0,3.962646408157247,83.66459003632409,83.56993477743677,-75.21526809833003,155.0,645.0,2.575
1908460gm44,4.726876212874355,72.0,178.0,3.962646408157247,28.533046428073664,28.198172635035508,-28.198155055896056,500.0,35.0,0.325
1909352gm59,5.2,55.0,-94.0,159.18086008074138,293.2856311977461,244.6579342681544,161.706435232294,1000.0,15.0,7.575
1909352gm89,5.2,55.0,-94.0,159.18086008074138,170.61967829915164,58.85960611400225,58.99404589610829,800.0,0.0,0.275
1916417gm9,4.787378105352512,67.0,173.0,13.57463319640824,34.74042379469336,31.81586045650465,-31.186701402021228,280.0,190.0,0.325
1917248gm14,4.096515476791923,70.0,123.0,38.53795874650218,57.28688012807821,42.09359915219281,14.718252473100945,526.0,9.0,0.275
1917248gm44,4.096515476791923,70.0,123.0,38.53795874650218,39.231257957226894,6.936159568055081,5.5766984226600345,219.0,123.0,0.275
1917248gm49,4.096515476791923,70.0,123.0,38.53795874650218,41.70448436046696,15.796969125919546,3.785330303928502,260.0,78.0,0.275
1917248gm54,4.096515476791923,70.0,123.0,38.53795874650218,58.45950215405437,43.88971680073281,4.042043397401104,532.0,0.0,0.325
1917248gm59,4.096515476791923,70.0,123.0,38.53795874650218,66.76639890929903,54.3632566220932,14.436264049116453,615.0,23.0,0.075
1917248gm64,4.096515476791923,70.0,123.0,38.53795874650218,76.60640422309494,66.10618756933584,2.745965803593468,622.0,18.0,0.275
1919578gm4,4.4342733296511945,55.0,-94.0,4.140899729812583,39.07903185781739,38.642724115244256,34.26862711793263,298.0,58.0,0.375
1919578gm9,4.4342733296511945,55.0,-94.0,4.140899729812583,53.95184410798875,53.631313578897206,48.94304330372668,800.0,0.0,0.275
1919601gm4,3.596790867280258,55.0,-94.0,4.602761923149527,35.26232602012664,34.85306919485704,8.754486459758851,220.0,78.0,0.325
1919601gm14,3.596790867280258,55.0,-94.0,4.602761923149527,21.58602297429419,20.9181986950434,19.686968625630445,206.0,88.0,0.375
1926225gm39,4.3400624524332505,55.0,-94.0,186.5323024317496,387.21631312380816,338.8329464074066,128.92747134441052,622.0,18.0,0.275
1928289gm14,4.030279100182738,60.0,80.0,14.103945306029487,22.66361414279639,17.455878060952482,8.505343818722718,800.0,29.0,1.225
1974827gm4,4.324438336293398,80.0,-134.0,27.316537667425457,55.72474050165266,48.35791108613156,25.932499125703828,267.0,20.0,0.275
1974827gm9,4.324438336293398,80.0,-134.0,27.316537667425457,53.83575822668668,46.2336841101608,0.7160294916893529,315.0,6.0,0.275
1974827gm14,4.324438336293398,80.0,-134.0,27.316537667425457,30.853003835779457,14.17744968092086,4.262935399995791,294.0,88.0,1.275
1974827gm24,4.324438336293398,80.0,-134.0,27.316537667425457,54.06794769197504,46.41014194697958,34.13245853758973,250.0,183.0,0.275
1974827gm29,4.324438336293398,80.0,-134.0,27.316537667425457,56.78584689392926,49.59881262387314,28.077552616804425,630.0,28.0,0.275
1974827gm34,4.324438336293398,80.0,-134.0,27.316537667425457,33.569952011854625,18.92591894511925,13.66698012025732,329.0,43.0,0.325
1974827gm39,4.324438336293398,80.0,-134.0,27.316537667425457,57.04464749907808,49.8879671321125,30.54926887200821,222.0,175.0,0.325
1974827gm44,4.324438336293398,80.0,-134.0,27.316537667425457,34.02252502130838,20.236971072856505,-10.493284868937131,390.0,268.0,1.375
1974827gm59,4.324438336293398,80.0,-134.0,27.316537667425457,47.978994688076654,39.1407988293947,37.12767422873582,219.0,123.0,0.275
1974827gm64,4.324438336293398,80.0,-134.0,27.316537667425457,48.00176951682763,39.159127113364136,38.921416720959016,260.0,78.0,0.275
1974827gm69,4.324438336293398,80.0,-134.0,27.316537667425457,58.73668745013978,51.82336442651259,28.27350650704613,615.0,23.0,0.075
1974827gm74,4.324438336293398,80.0,-134.0,27.316537667425457,74.93743553001553,69.5635956463317,39.96454767405618,622.0,18.0,0.275
1974827gm79,4.324438336293398,80.0,-134.0,27.316537667425457,55.90870523211301,48.5915469129588,30.01618177742697,233.0,151.0,0.325
1974827gm84,4.324438336293398,80.0,-134.0,27.316537667425457,45.16778203300704,35.721931423432736,24.95156045065769,390.0,136.0,0.325
1983662gm19,4.114376676253783,40.0,97.0,11.497902369807472,52.57662182721239,51.06777602984557,23.68674842827536,1000.0,15.0,7.575
1986155gm74,4.747414635218819,55.0,-94.0,331.64369449556443,551.8341414087864,440.3775193963488,153.90818558388295,622.0,18.0,0.275
1987494gm9,4.661191836246273,40.0,97.0,26.78916604812883,59.64936802424384,52.33987154843622,52.26611614215212,372.0,60.0,0.275
1987494gm39,4.661191836246273,40.0,97.0,26.78916604812883,43.19432781904387,33.21985575878922,11.116788823223851,215.0,58.0,0.725
1987494gm54,4.661191836246273,40.0,97.0,26.78916604812883,169.58767494939187,167.17456385130626,68.24700764745455,622.0,18.0,0.275
1987494gm64,4.661191836246273,40.0,97.0,26.78916604812883,37.23503211934405,23.952882857805765,24.602895112751856,800.0,24.0,0.325
1987660gm19,3.8227659740833966,67.0,173.0,57.24338115477829,63.4971257226978,27.459967719428928,-12.59551583974124,402.0,95.0,1.125
1987660gm44,3.8227659740833966,67.0,173.0,57.24338115477829,58.68224275048533,12.57355830816202,8.822175296122106,268.0,55.0,0.325
1987660gm54,3.8227659740833966,67.0,173.0,57.24338115477829,72.72489594000892,44.70294164791342,-14.590777480015594,622.0,18.0,0.275
1989243gm49,4.5891041174531,55.0,-94.0,109.5592224194687,310.5233181655841,289.9791242798607,107.77884435601514,622.0,18.0,0.275
1989253gm19,4.011312697256064,67.0,173.0,7.010577012308949,17.546181738310167,15.667832484885514,-11.509670648936696,600.0,5.0,0.525
1989578gm14,4.313230245387148,70.0,123.0,58.14844803274672,126.00573854011566,111.49356960869868,40.21571058408705,622.0,18.0,0.275
1999194gm44,4.247571306307861,60.0,-127.0,285.18523296678484,430.90030696119857,322.9179440369082,-108.81897948698143,622.0,18.0,0.275
2000958gm69,5.193122316712932,55.0,-94.0,115.92184198280128,328.706229672415,306.71962556237884,98.22137835430227,622.0,18.0,0.275
2001055gm9,4.442697231711676,67.0,173.0,4.227186002246882,40.89232200953506,40.624532948600326,-6.380320909545664,334.0,83.0,0.325
2001055gm14,4.442697231711676,67.0,173.0,4.227186002246882,15.704880046791647,15.014816966610958,-7.845392119827329,280.0,190.0,0.325
2001055gm29,4.442697231711676,67.0,173.0,4.227186002246882,43.88288713665623,43.38829642920056,25.576181097035107,600.0,5.0,0.525
2001064gm9,4.40198266097131,40.0,-68.0,24.76611917417848,53.61749523888749,46.88206980066456,41.88488023279042,215.0,118.0,8.925
2002648gm4,5.051324932028052,70.0,123.0,41.76927444033296,69.27700243837235,54.438748246278365,26.48407683355324,267.0,20.0,0.275
2002648gm14,5.051324932028052,70.0,123.0,41.76927444033296,73.58621595648,59.901913853996135,25.79083286040208,540.0,7.0,0.275
2002648gm19,5.051324932028052,70.0,123.0,41.76927444033296,75.55351653934041,61.5514893525839,51.68935720334333,315.0,6.0,0.275
2002648gm24,5.051324932028052,70.0,123.0,41.76927444033296,86.18476891634653,75.0085650563637,18.625598007152742,264.0,63.0,0.775
2002648gm29,5.051324932028052,70.0,123.0,41.76927444033296,67.14946644080061,51.11479448051931,48.15126079855846,294.0,88.0,1.275
2002648gm34,5.051324932028052,70.0,123.0,41.76927444033296,50.30366960083269,27.03724386803687,18.275443754465503,250.0,183.0,0.275
2002648gm39,5.051324932028052,70.0,123.0,41.76927444033296,61.682241252714185,44.426896265414456,24.42516573822475,526.0,9.0,0.275
2002648gm44,5.051324932028052,70.0,123.0,41.76927444033296,68.5073518726598,53.56780471179609,24.339029275689207,630.0,28.0,0.275
2002648gm49,5.051324932028052,70.0,123.0,41.76927444033296,60.84047975845042,42.6149958590449,38.74719460125194,329.0,43.0,0.325
2002648gm54,5.051324932028052,70.0,123.0,41.76927444033296,66.16758446006435,50.57503726440411,20.750204808377035,622.0,0.0,0.325
2002648gm59,5.051324932028052,70.0,123.0,41.76927444033296,68.3606963779124,53.460837481754766,22.17777618580971,212.0,243.0,0.325
2002648gm69,5.051324932028052,70.0,123.0,41.76927444033296,76.57042153129383,63.64161260717883,21.150760848291437,274.0,97.0,0.325
2002648gm84,5.051324932028052,70.0,123.0,41.76927444033296,44.56833010909676,14.00953919734286,15.283054307248069,219.0,123.0,0.275
2002648gm89,5.051324932028052,70.0,123.0,41.76927444033296,46.06659480021356,18.340421477717097,13.492007601964149,260.0,78.0,0.275
2002648gm94,5.051324932028052,70.0,123.0,41.76927444033296,70.25338751039972,55.79167822031048,24.14324633081882,615.0,23.0,0.075
2002648gm99,5.051324932028052,70.0,123.0,41.76927444033296,60.50511129496974,43.30354124434659,12.854595721496848,275.0,25.0,0.325
2002648gm109,5.051324932028052,70.0,123.0,41.76927444033296,77.9690429723599,65.44934208978438,12.452977603393236,622.0,18.0,0.275
2002648gm114,5.051324932028052,70.0,123.0,41.76927444033296,65.96434973676729,50.35447720925494,22.40021294822205,233.0,151.0,0.325
2002648gm124,5.051324932028052,70.0,123.0,41.76927444033296,58.66567246920581,39.744154048831966,33.310247368868026,800.0,10.0,0.325
2002648gm134,5.051324932028052,70.0,123.0,41.76927444033296,75.10736300098577,61.93651900602456,13.9403199805697,369.0,39.0,0.325
